Name,LUMG,P,PdotCor,EdotCor,"BdotS,Cor",ECut_HYB,NAME,TSband
J1837-0604,7.520000000000001e+34,96.31,4.49e-14,1.98e+36,2100000000000.0,8.66,J1837-0604,0
J1843-1113,4.33e+33,1.85,9.34e-21,5.82e+34,133000000.0,3.19,J1843-1113,1.8419828414916992
J1853-0004,1.68e+34,101.44,5.57e-15,2.11e+35,761000000000.0,1.19,J1853-0004,0
J1855-1436,1.5900000000000002e+34,3.59,1.09e-20,9.29e+33,200000000.0,5.78,J1855-1436,0.6600804924964905
J1857+0143,2.92e+34,139.77,3.1e-14,4.49e+35,2110000000000.0,1.17,J1857+0143,0
J1858-2216,1.16e+33,2.38,3.5e-21,1.03e+34,92400000.0,1.94,J1858-2216,0.3340999186038971
J1901-0125,1.3e+34,2.79,3.58e-20,6.48e+34,320000000.0,3.6,J1901-0125,0.6458346247673035
J1902-5105,7.62e+33,1.74,8.580000000000001e-21,6.43e+34,124000000.0,3.69,J1902-5105,3.6737849712371826
J1903-7051,5.46e+32,3.6,7.92e-21,6.7e+33,171000000.0,2.47,J1903-7051,0.462654173374176
J1907+0602,2.36e+35,106.64,8.65e-14,2.81e+36,3070000000000.0,3.68,J1907+0602,4.302446365356445
J1908+2105,3.95e+33,2.56,1.31e-20,3.0900000000000003e+34,186000000.0,5.12,J1908+2105,1.4601603746414185
J1913+0904,2.12e+34,163.25,1.76e-14,1.6e+35,1720000000000.0,2.21,J1913+0904,1.5548380613327026
J1913+1011,4.66e+34,35.91,3.38e-15,2.88e+36,353000000000.0,35.55,J1913+1011,0
J1921+0137,3.35e+34,2.5,1.9e-20,4.810000000000001e+34,221000000.0,4.3,J1921+0137,1.9436088800430298
J1921+1929,2.48e+33,2.65,3.65e-20,7.740000000000001e+34,315000000.0,2.62,J1921+1929,1.175169587135315
J1925+1720,2.8999999999999997e+34,75.66,1.05e-14,9.54e+35,901000000000.0,1.83,J1925+1720,0.5519251227378845
J1935+2025,5.490000000000001e+34,80.0,6.04e-14,4.64e+36,2230000000000.0,1.78,J1935+2025,1.9162414073944092
J1946-5403,1.56e+33,2.71,2.6900000000000002e-21,5.33e+33,86400000.0,1.29,J1946-5403,5.421322822570801
J2006+0148,2.15e+33,2.16,3.2900000000000002e-21,1.28e+34,85300000.0,4.16,J2006+0148,0.05657201632857323
J2006+3102,4.63e+34,163.7,2.49e-14,2.24e+35,2040000000000.0,3.08,J2006+3102,0
J2017+0603,8.339999999999999e+33,2.9,8.52e-21,1.38e+34,159000000.0,3.85,J2017+0603,2.509938955307007
J2017-1614,1.61e+33,2.31,2.41e-21,7.67e+33,75400000.0,4.13,J2017-1614,2.219973564147949
J2021+3651,1.91e+35,103.75,9.48e-14,3.35e+36,3170000000000.0,3.24,J2021+3651,5.698971748352051
J2021+4026,2.16e+35,265.33,5.48e-14,1.16e+35,3860000000000.0,2.69,J2021+4026,3.2066843509674072
J2022+3842,3.17e+35,48.58,8.62e-14,2.97e+37,2070000000000.0,2.52,J2022+3842,2.1842174530029297
J2030+3641,4.55e+34,200.13,6.51e-15,3.2000000000000003e+34,1160000000000.0,1.97,J2030+3641,0
J2030+4415,1.32e+33,227.07,5.05e-15,1.7000000000000002e+34,1080000000000.0,1.6,J2030+4415,2.2455520629882812
J2032+4127,5.280000000000001e+34,143.25,1.16e-14,1.56e+35,1310000000000.0,4.01,J2032+4127,0.8995710015296936
J2039-3616,1.33e+33,3.27,6.34e-21,7.16e+33,146000000.0,2.41,J2039-3616,1.535220742225647
J2039-5617,5.21e+33,2.65,1.2e-20,2.54e+34,180000000.0,4.41,J2039-5617,6.437958717346191
J2042+0246,2.86e+32,4.53,1.41e-20,5.97e+33,255000000.0,1.08,J2042+0246,2.6685123443603516
J2043+1711,6.57e+33,2.38,4.800000000000001e-21,1.41e+34,108000000.0,3.86,J2043+1711,5.299173355102539
J2043+2740,2.37e+33,96.13,1.24e-15,5.500000000000001e+34,349000000000.0,1.4,J2043+2740,2.8723716735839844
J2047+1053,3.98e+33,4.29,1.37e-20,6.83e+33,245000000.0,6.15,J2047+1053,0.2772585451602936
J2051-0827,6.46e+32,4.51,1.28e-20,5.499999999999999e+33,243000000.0,1.81,J2051-0827,0
J2052+1219,1.7000000000000002e+34,1.99,2.0900000000000002e-21,1.05e+34,65200000.0,7.4,J2052+1219,1.8826857805252075
J2115+5448,8.099999999999999e+33,2.61,2.93e-20,6.499999999999999e+34,280000000.0,2.41,J2115+5448,0.5972563028335571
J2124-3358,7.8e+32,4.93,7.57e-21,2.49e+33,195000000.0,1.79,J2124-3358,3.5304296016693115
J2129-0429,2.73e+33,7.61,2.3e-19,2.06e+34,1340000000.0,2.72,J2129-0429,2.059312105178833
J2205+6012,5.6e+33,2.41,1.99e-20,5.62e+34,222000000.0,0.88,J2205+6012,0
J2208+4056,3.15e+32,636.96,5.28e-15,8.07e+32,1860000000000.0,0.61,J2208+4056,2.630326271057129
J2214+3000,1.41e+33,3.12,1.33e-20,1.72e+34,206000000.0,2.07,J2214+3000,7.264474868774414
J2215+5135,1.53e+34,2.61,2.38e-20,5.270000000000001e+34,252000000.0,4.55,J2215+5135,3.941066265106201
J2229+6114,2.59e+35,51.65,7.53e-14,2.16e+37,2000000000000.0,4.84,J2229+6114,5.903661251068115
J2234+0944,5.95e+32,3.63,1.34e-20,1.11e+34,223000000.0,3.01,J2234+0944,1.4028818607330322
J2240+5832,6.22e+34,139.94,1.53e-14,2.2e+35,1480000000000.0,4.06,J2240+5832,0.2505681812763214
J2241-5236,3.25e+33,2.19,6.99e-21,2.6300000000000003e+34,125000000.0,1.93,J2241-5236,2.0448484420776367
J2256-1024,4.25e+33,2.29,1.16e-20,3.83e+34,165000000.0,2.58,J2256-1024,3.812495708465576
J2302+4442,3.47e+33,5.19,1.34e-20,3.77e+33,266000000.0,3.02,J2302+4442,6.428962230682373
J2310-0555,1.62e+33,2.61,4.96e-21,1.0999999999999999e+34,115000000.0,2.05,J2310-0555,1.2826231718063354
J2317+1439,2.13e+32,3.45,3.0000000000000007e-21,2.89e+33,103000000.0,0.32,J2317+1439,0
J2339-0533,5.9e+33,2.88,1.36e-20,2.25e+34,201000000.0,4.03,J2339-0533,9.525035858154297
