Name,LUMG,P,PdotCor,EdotCor,"BdotS,Cor",ECut_HYB,n_ECut_HYB
J1824-2452A,7.730000000000001e+34,3.05,1.61e-18,2.24e+36,2250000000.0,2.83,183.4
J1828-1101,1.2999999999999998e+35,72.06,1.48e-14,1.56e+36,1050000000000.0,5.44,18.5
J1831-0952,8.82e+34,67.27,8.31e-15,1.08e+36,757000000000.0,0.93,154.1
J1833-1034,1.79e+35,61.9,2.02e-13,3.36e+37,3580000000000.0,5.21,70.6
J1833-3840,7.29e+33,1.87,1.77e-20,1.08e+35,184000000.0,2.2,42.6
J1836+5925,2.0800000000000003e+34,173.26,1.5e-15,1.14e+34,516000000000.0,2.46,24519.2
J1837-0604,7.520000000000001e+34,96.31,4.49e-14,1.9799999999999998e+36,2100000000000.0,8.66,3.3
J1843-1113,4.3299999999999996e+33,1.85,9.340000000000001e-21,5.82e+34,133000000.0,3.19,124.0
J1853-0004,1.68e+34,101.44,5.57e-15,2.11e+35,761000000000.0,1.19,1.6
J1855-1436,1.5900000000000002e+34,3.59,1.09e-20,9.29e+33,200000000.0,5.78,12.0
J1857+0143,2.92e+34,139.77,3.1e-14,4.4899999999999995e+35,2110000000000.0,1.17,7.9
J1858-2216,1.16e+33,2.38,3.5e-21,1.03e+34,92400000.0,1.94,215.9
J1901-0125,1.3e+34,2.79,3.58e-20,6.48e+34,320000000.0,3.6,124.8
J1902-5105,7.62e+33,1.74,8.580000000000001e-21,6.43e+34,124000000.0,3.69,248.6
J1903-7051,5.4600000000000004e+32,3.6,7.92e-21,6.7e+33,171000000.0,2.47,135.8
J1907+0602,2.36e+35,106.64,8.65e-14,2.81e+36,3070000000000.0,3.68,907.0
J1908+2105,3.95e+33,2.56,1.31e-20,3.0900000000000003e+34,186000000.0,5.12,16.1
J1913+0904,2.12e+34,163.25,1.76e-14,1.6e+35,1720000000000.0,2.21,57.6
J1913+1011,4.66e+34,35.91,3.38e-15,2.88e+36,353000000000.0,35.55,0.2
J1921+0137,3.35e+34,2.5,1.9e-20,4.810000000000001e+34,221000000.0,4.3,65.8
J1921+1929,2.48e+33,2.65,3.65e-20,7.740000000000001e+34,315000000.0,2.62,9.9
J1925+1720,2.9e+34,75.66,1.05e-14,9.54e+35,901000000000.0,1.83,26.4
J1932+2220,7.34e+34,144.46,5.7e-14,7.46e+35,2900000000000.0,2.56,18.1
J1935+2025,5.490000000000001e+34,80.0,6.04e-14,4.64e+36,2230000000000.0,1.78,112.7
J1939+2134,2.33e+34,1.56,1.05e-19,1.1e+36,410000000.0,3.21,76.9
J1946-5403,1.56e+33,2.71,2.6900000000000002e-21,5.33e+33,86400000.0,1.29,405.2
J1952+3252,1.59e+35,39.53,5.83e-15,3.7199999999999997e+36,486000000000.0,3.71,1393.4
J1959+2048,3.02e+33,1.61,1.24e-20,1.17e+35,143000000.0,2.14,255.9
J2006+0148,2.1499999999999999e+33,2.16,3.2900000000000002e-21,1.28e+34,85300000.0,4.16,20.2
J2006+3102,4.63e+34,163.7,2.49e-14,2.2399999999999997e+35,2040000000000.0,3.08,56.9
