name,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,redshift,redshift_lower,redshift_upper,far,p_astro,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW241109_033317,42.4,-8.5,11.3,31.7,-9.4,9.3,11.3,,,2700.0,-1500.0,2000.0,0.01,-0.24,0.22,74.0,-11.0,16.0,31.4,-5.2,7.0,0.46,-0.24,0.28,0.0013,0.99,70.0,-11.0,15.0
GW241109_005349,,,,,,,10.5,,,,,,,,,,,,,,,,,,7.400000000000001,0.56,,,
GW241106_110932,,,,,,,9.2,,,,,,,,,,,,,,,,,,3.9,0.73,,,
GW241102_144729,44.4,-8.6,12.3,31.0,-11.1,9.9,12.7,,,3400.0,-1600.0,2000.0,-0.09,-0.27,0.21,75.1,-9.8,13.6,31.5,-4.8,6.5,0.57,-0.23,0.26,1e-05,0.99,72.0,-9.4,12.7
GW241102_124058,10.9,-1.4,3.2,8.0,-1.7,1.2,21.7,,,390.0,-112.0,59.0,0.06,-0.04,0.11,19.01,-0.47,1.45,8.12,-0.09,0.17,0.08,-0.02,0.01,1e-05,0.99,18.1,-0.46,1.54
GW241101_220523,41.0,-12.0,13.0,19.3,-5.7,9.8,10.6,,,2200.0,-1000.0,1400.0,0.15,-0.29,0.33,60.2,-9.2,12.7,23.6,-3.1,5.8,0.39,-0.17,0.21,0.00055,0.99,57.7,-9.0,11.9
GW241101_034726,,,,,,,8.2,,,,,,,,,,,,,,,,,,2.1,0.87,,,
GW241018_235402,,,,,,,9.6,,,,,,,,,,,,,,,,,,1.7999999999999998,0.98,,,
GW241011_233834,19.5,-2.0,2.6,5.96,-0.58,0.58,35.8,,,212.0,-41.0,43.0,0.5,-0.04,0.06,25.5,-1.5,2.0,9.09,-0.08,0.08,0.05,-0.01,0.01,1e-05,0.99,24.4,-1.5,2.1
GW241009_220455,33.2,-6.6,8.1,25.5,-8.1,5.9,10.0,,,2900.0,-1300.0,2200.0,0.11,-0.25,0.23,58.9,-10.9,9.3,25.2,-5.1,4.0,0.5,-0.2,0.3,0.023,0.99,56.0,-10.2,8.7
GW241009_084816,12.7,-2.5,4.0,8.1,-1.9,1.9,12.1,,,1130.0,-480.0,580.0,-0.05,-0.08,0.14,21.0,-1.9,2.3,8.78,-0.65,0.67,0.22,-0.09,0.1,1e-05,0.99,20.1,-1.9,2.4
GW241009_022835,37.1,-8.9,14.1,26.8,-9.5,10.2,8.4,,,5600.0,-2800.0,3800.0,0.09,-0.25,0.26,64.0,-13.0,19.0,27.1,-5.6,8.2,0.85,-0.37,0.45,0.97,0.99,61.0,-12.0,18.0
GW241007_082943,36.6,-7.7,13.5,26.6,-7.9,8.4,9.8,,,4000.0,-2000.0,2300.0,0.11,-0.26,0.26,63.2,-9.8,15.7,26.7,-4.3,6.8,0.65,-0.29,0.29,0.042,0.99,60.1,-9.3,14.9
GW241006_015333,24.6,-2.8,4.2,20.3,-3.1,2.8,17.6,,,1850.0,-710.0,650.0,0.07,-0.13,0.13,44.9,-3.0,4.2,19.4,-1.3,1.8,0.34,-0.12,0.1,1e-05,0.99,42.7,-2.9,4.0
GW241002_030559,37.3,-5.5,8.4,29.9,-7.1,5.6,11.9,,,1460.0,-680.0,950.0,-0.1,-0.23,0.2,67.2,-7.7,8.8,28.8,-3.4,3.9,0.28,-0.12,0.15,1e-05,0.99,64.2,-7.2,8.2
GW240930_234614,35.8,-8.9,14.0,21.9,-7.2,7.2,11.3,,,3600.0,-2000.0,2600.0,0.04,-0.3,0.27,58.0,-9.2,12.3,23.9,-3.7,4.9,0.6,-0.3,0.33,0.24,0.98,55.5,-8.9,12.0
GW240930_123408,,,,,,,8.3,,,,,,,,,,,,,,,,,,2.9,0.81,,,
GW240930_035959,25.5,-4.8,5.0,11.2,-1.8,2.1,16.1,,,950.0,-290.0,490.0,-0.05,-0.13,0.14,36.8,-3.4,3.8,14.5,-0.98,0.77,0.19,-0.05,0.08,1e-05,0.99,35.5,-3.4,3.8
GW240925_005809,9.02,-0.99,1.97,6.99,-1.27,0.83,31.2,,,356.0,-162.0,61.0,0.02,-0.02,0.08,16.07,-0.44,0.71,6.85,-0.08,0.22,0.08,-0.03,0.01,1e-05,0.99,15.32,-0.44,0.75
GW240925_000956,,,,,,,8.5,,,,,,,,,,,,,,,,,,6.5,0.61,,,
GW240924_000316,46.0,-9.9,14.3,34.0,-10.0,11.0,11.4,,,3700.0,-1700.0,2600.0,0.1,-0.24,0.23,80.0,-14.0,19.0,34.2,-6.3,8.4,0.61,-0.25,0.34,2e-05,0.99,76.0,-14.0,18.0
GW240923_204006,46.1,-7.9,10.3,34.9,-10.6,9.9,13.6,,,4000.0,-1900.0,1800.0,0.01,-0.21,0.2,79.9,-9.6,16.2,34.1,-4.8,7.3,0.65,-0.27,0.24,1e-05,0.99,76.3,-9.1,15.1
GW240923_110846,,,,,,,8.6,,,,,,,,,,,,,,,,,,8.5,0.61,,,
GW240923_000715,,,,,,,11.0,,,,,,,,,,,,,,,,,,1.6,0.78,,,
GW240922_142106,11.5,-2.0,3.9,7.8,-1.8,1.5,12.5,,,1230.0,-500.0,340.0,0.07,-0.06,0.12,19.3,-1.2,2.2,8.12,-0.37,0.63,0.24,-0.09,0.06,1e-05,0.99,18.4,-1.2,2.3
GW240921_201835,34.9,-9.4,8.9,9.8,-1.7,3.0,11.3,,,920.0,-300.0,760.0,,,,44.8,-7.0,7.5,15.62,-1.52,0.76,0.18,-0.06,0.13,1e-05,0.99,43.7,-7.2,7.6
GW240920_124024,37.1,-2.8,4.0,31.9,-3.9,3.0,37.4,,,1090.0,-320.0,220.0,-0.04,-0.09,0.08,68.8,-2.6,3.7,29.8,-1.2,1.7,0.21,-0.06,0.04,1e-05,0.99,65.6,-2.4,3.5
GW240920_073424,24.7,-5.6,7.6,13.4,-3.2,3.3,14.0,,,1440.0,-550.0,620.0,-0.09,-0.16,0.19,38.2,-3.9,5.6,15.6,-1.3,1.5,0.27,-0.09,0.1,1e-05,0.99,36.7,-3.8,5.6
GW240919_215453,,,,,,,10.1,,,,,,,,,,,,,,,,,,5.1,0.7,,,
GW240919_061559,38.3,-5.5,6.6,29.6,-5.9,5.4,16.9,,,1870.0,-740.0,820.0,-0.02,-0.17,0.16,67.8,-5.9,7.0,29.0,-2.6,3.2,0.34,-0.12,0.12,1e-05,0.99,64.7,-5.6,6.5
GW240917_130237,,,,,,,7.8,,,,,,,,,,,,,,,,,,1.7999999999999998,0.85,,,
GW240916_184352,10.7,-1.7,4.2,7.8,-2.2,1.5,9.8,,,1280.0,-640.0,630.0,0.05,-0.09,0.14,18.7,-1.7,2.4,7.89,-0.62,0.8,0.25,-0.11,0.1,0.028,0.99,17.8,-1.6,2.5
GW240915_105151,11.6,-2.2,7.3,7.5,-2.6,1.7,13.9,,,630.0,-280.0,260.0,0.07,-0.09,0.22,19.4,-1.3,4.4,8.07,-0.32,0.4,0.13,-0.05,0.05,1e-05,0.99,18.5,-1.2,4.6
GW240915_045510,,,,,,,8.2,,,,,,,,,,,,,,,,,,3.5,0.75,,,
GW240915_001357,10.9,-1.7,5.5,7.7,-2.3,1.3,16.4,,,920.0,-290.0,190.0,0.13,-0.05,0.16,18.8,-0.87,3.1,7.95,-0.21,0.37,0.18,-0.05,0.03,1e-05,0.99,17.88,-0.86,3.22
GW240913_111216,,,,,,,7.8,,,,,,,,,,,,,,,,,,6.2,0.62,,,
GW240910_103535,10.9,-2.4,3.1,6.3,-1.3,1.7,17.8,,,740.0,-310.0,170.0,0.12,-0.07,0.12,17.3,-1.1,1.8,7.16,-0.19,0.39,0.15,-0.06,0.03,1e-05,0.99,16.6,-1.1,1.9
GW240908_174149,,,,,,,9.0,,,,,,,,,,,,,,,,,,3.1,0.67,,,
GW240908_125134,45.0,-11.0,15.0,32.0,-11.0,11.0,8.6,,,4700.0,-2300.0,3500.0,-0.09,-0.3,0.24,77.0,-15.0,19.0,32.5,-6.6,8.6,0.74,-0.31,0.42,0.29,0.97,74.0,-14.0,18.0
GW240908_082628,39.8,-9.4,11.8,27.7,-9.2,8.4,11.1,,,3100.0,-1300.0,2600.0,0.14,-0.25,0.24,68.0,-14.0,12.0,28.6,-5.8,5.6,0.53,-0.2,0.34,1.2e-05,0.99,65.0,-13.0,11.0
GW240907_153833,38.0,-8.0,11.3,28.3,-8.5,8.7,10.5,,,4500.0,-2100.0,3100.0,0.04,-0.25,0.26,67.0,-12.0,14.0,28.3,-5.0,6.5,0.71,-0.29,0.38,8e-05,0.99,63.0,-11.0,14.0
GW240907_121650,,,,,,,9.8,,,,,,,,,,,,,,,,,,6.0,0.52,,,
GW240907_092521,,,,,,,8.3,,,,,,,,,,,,,,,,,,4.0,0.72,,,
GW240902_143306,24.4,-4.4,6.8,18.3,-5.2,4.9,10.6,,,2900.0,-1300.0,1700.0,-0.03,-0.3,0.28,42.7,-5.8,8.2,18.2,-2.6,3.6,0.49,-0.2,0.24,1e-05,0.99,40.8,-5.5,7.5
GW240901_195332,,,,,,,9.4,,,,,,,,,,,,,,,,,,7.799999999999999,0.62,,,
GW240830_211120,11.9,-2.3,3.6,7.8,-1.7,1.6,11.1,,,1140.0,-490.0,500.0,0.07,-0.07,0.13,19.8,-1.6,2.3,8.33,-0.54,0.66,0.22,-0.09,0.08,1e-05,0.99,18.9,-1.6,2.3
GW240828_102340,,,,,,,8.0,,,,,,,,,,,,,,,,,,3.8,0.62,,,
GW240825_055146,13.2,-3.0,5.8,7.9,-2.2,2.0,10.3,,,1250.0,-550.0,530.0,0.07,-0.13,0.19,21.3,-2.1,3.8,8.77,-0.61,0.77,0.24,-0.1,0.09,2e-05,0.99,20.3,-2.0,3.9
GW240824_205609,70.0,-24.0,32.0,37.0,-17.0,20.0,9.0,,,5300.0,-3000.0,5400.0,0.08,-0.35,0.34,107.0,-27.0,37.0,43.0,-12.0,17.0,0.81,-0.41,0.62,0.25,0.96,103.0,-26.0,36.0
GW240814_145043,,,,,,,9.4,,,,,,,,,,,,,,,,,,2.1,0.74,,,
GW240813_034548,,,,,,,9.7,,,,,,,,,,,,,,,,,,19.0,0.64,,,
GW240807_214559,,,,,,,9.6,,,,,,,,,,,,,,,,,,17.0,0.66,,,
GW240806_043539,,,,,,,8.9,,,,,,,,,,,,,,,,,,1.9,0.89,,,
GW240716_034900,40.3,-8.0,8.8,26.5,-6.4,6.7,12.9,,,1860.0,-930.0,1390.0,-0.02,-0.25,0.22,66.8,-7.8,8.8,28.1,-3.3,3.9,0.34,-0.16,0.21,1e-05,0.99,63.9,-7.5,8.4
GW240705_053215,47.1,-7.7,9.7,35.3,-8.2,8.0,16.8,,,3700.0,-1600.0,1400.0,-0.03,-0.21,0.2,81.9,-8.1,12.8,34.9,-3.6,5.7,0.61,-0.23,0.18,1e-05,0.99,78.2,-7.7,12.1
GW240703_191355,34.4,-6.2,8.5,26.4,-6.7,5.9,10.1,,,1880.0,-860.0,1540.0,0.05,-0.2,0.21,61.2,-9.3,8.6,26.2,-4.0,3.8,0.34,-0.14,0.23,1e-05,0.99,58.3,-8.8,8.0
GW240701_203807,,,,,,,7.9,,,,,,,,,,,,,,,,,,8.6,0.55,,,
GW240701_013826,,,,,,,10.4,,,,,,,,,,,,,,,,,,2.5,0.64,,,
GW240701_011640,,,,,,,7.8,,,,,,,,,,,,,,,,,,12.0,0.51,,,
GW240630_212937,,,,,,,8.2,,,,,,,,,,,,,,,,,,4.9,0.75,,,
GW240630_115348,,,,,,,8.5,,,,,,,,,,,,,,,,,,6.5,0.67,,,
GW240630_101703,28.6,-4.8,7.6,21.6,-5.3,5.0,10.6,,,3200.0,-1400.0,1500.0,-0.04,-0.27,0.23,50.2,-5.8,8.0,21.4,-2.5,3.5,0.54,-0.2,0.21,1.5e-05,0.99,48.0,-5.5,7.5
GW240629_145256,11.1,-1.7,3.0,7.8,-1.6,1.4,12.7,,,1280.0,-500.0,340.0,0.04,-0.06,0.11,18.9,-1.1,1.8,8.01,-0.35,0.61,0.25,-0.09,0.06,1e-05,0.99,18.1,-1.1,1.8
GW240627_131622,13.2,-3.5,5.7,6.7,-1.8,2.4,9.8,,,1350.0,-570.0,620.0,,,,20.1,-2.2,3.8,8.08,-0.57,0.72,0.26,-0.1,0.1,0.087,0.99,19.3,-2.2,4.0
GW240625_073331,,,,,,,10.1,,,,,,,,,,,,,,,,,,2.5,0.64,,,
GW240622_004008,18.6,-4.0,7.6,11.3,-3.2,2.9,12.7,,,1470.0,-530.0,600.0,0.25,-0.1,0.13,30.2,-2.9,4.5,12.5,-0.91,0.98,0.28,-0.09,0.1,1e-05,0.99,28.7,-2.8,4.8
GW240621_214041,45.0,-11.0,17.0,32.0,-11.0,13.0,7.9,,,6800.0,-3400.0,4800.0,,,,76.0,-16.0,24.0,32.1,-6.7,10.3,1.0,-0.44,0.54,0.038,0.99,73.0,-15.0,22.0
GW240621_200935,41.6,-8.3,11.6,31.6,-9.5,9.8,10.7,,,4800.0,-2400.0,3000.0,-0.09,-0.28,0.23,73.0,-12.0,17.0,31.1,-5.3,7.6,0.75,-0.32,0.36,0.0012,0.99,70.0,-11.0,16.0
GW240621_195059,36.8,-3.7,4.4,29.7,-5.2,4.1,28.2,,,1210.0,-430.0,260.0,,,,66.0,-2.8,4.6,28.4,-1.4,2.2,0.23,-0.08,0.04,1e-05,0.99,62.9,-2.6,4.2
GW240621_103457,,,,,,,8.6,,,,,,,,,,,,,,,,,,10.0,0.51,,,
GW240620_094631,,,,,,,8.6,,,,,,,,,,,,,,,,,,2.1,0.68,,,
GW240619_212357,,,,,,,8.5,,,,,,,,,,,,,,,,,,10.0,0.51,,,
GW240619_044535,,,,,,,9.3,,,,,,,,,,,,,,,,,,5.1,0.75,,,
GW240618_071627,65.0,-19.0,24.0,40.0,-15.0,17.0,8.7,,,5500.0,-2900.0,5100.0,,,,105.0,-24.0,30.0,43.0,-10.0,13.0,0.84,-0.39,0.59,0.16,0.98,101.0,-23.0,28.0
GW240615_160735,28.5,-5.6,7.9,20.0,-5.6,5.7,13.1,,,4000.0,-1900.0,1900.0,0.28,-0.24,0.2,48.5,-5.9,8.5,20.4,-2.4,4.0,0.65,-0.27,0.24,2.8e-05,0.99,45.9,-5.6,8.0
GW240615_113620,34.0,-3.7,5.4,26.4,-4.8,4.0,26.4,,,1560.0,-450.0,290.0,-0.07,-0.13,0.11,60.4,-2.5,3.5,25.9,-1.2,1.7,0.29,-0.08,0.05,1e-05,0.99,57.8,-2.4,3.3
GW240613_011503,,,,,,,8.3,,,,,,,,,,,,,,,,,,3.7000000000000006,0.74,,,
GW240612_081540,55.0,-13.0,21.0,38.0,-16.0,16.0,9.9,,,6200.0,-3100.0,4100.0,0.07,-0.34,0.34,92.0,-18.0,27.0,38.5,-8.5,12.2,0.93,-0.4,0.47,0.56,0.92,88.0,-17.0,25.0
GW240611_214835,,,,,,,8.9,,,,,,,,,,,,,,,,,,1.7,0.61,,,
GW240601_231004,10.6,-1.7,4.8,7.7,-2.4,1.5,10.4,,,1270.0,-540.0,530.0,0.09,-0.07,0.16,18.6,-1.5,2.4,7.8,-0.51,0.65,0.25,-0.1,0.09,2.6e-05,0.99,17.7,-1.4,2.6
GW240601_061200,52.0,-16.0,20.0,32.0,-11.0,12.0,10.0,,,5100.0,-2600.0,4400.0,-0.08,-0.31,0.27,85.0,-20.0,23.0,35.3,-7.9,9.7,0.79,-0.35,0.52,0.082,0.99,82.0,-19.0,22.0
GW240531_075248,33.0,-7.6,10.4,22.6,-6.4,7.6,9.3,,,4100.0,-2200.0,2800.0,0.04,-0.27,0.26,55.6,-9.1,13.0,23.4,-3.8,5.6,0.67,-0.32,0.35,0.0039,0.99,53.1,-8.7,12.2
GW240531_040326,19.5,-3.7,7.4,14.3,-4.3,3.5,9.1,,,3000.0,-1500.0,1600.0,0.14,-0.21,0.22,34.0,-4.3,6.4,14.4,-1.8,2.6,0.52,-0.23,0.22,0.8700000000000001,0.95,32.3,-4.1,6.1
GW240530_012417,14.1,-3.3,8.4,8.3,-3.0,2.1,10.8,,,1010.0,-500.0,630.0,0.04,-0.11,0.25,22.6,-2.4,5.4,9.26,-0.75,0.78,0.2,-0.09,0.11,1e-05,0.99,21.6,-2.3,5.6
GW240527_230910,27.6,-9.6,8.9,10.0,-2.1,4.9,11.0,,,1190.0,-320.0,320.0,-0.03,-0.24,0.2,37.5,-5.1,7.0,14.07,-0.63,0.76,0.23,-0.06,0.05,1.3999999999999998e-05,0.99,36.4,-5.3,7.1
GW240527_183429,52.0,-12.0,17.0,33.0,-15.0,15.0,10.4,,,6400.0,-3100.0,3500.0,0.31,-0.33,0.27,84.0,-13.0,22.0,34.5,-6.7,10.8,0.96,-0.4,0.4,0.00017,0.99,80.0,-12.0,20.0
GW240527_150907,,,,,,,9.2,,,,,,,,,,,,,,,,,,2.2,0.81,,,
GW240526_093944,14.5,-3.6,6.1,8.4,-2.3,2.5,9.7,,,1940.0,-940.0,1100.0,0.22,-0.12,0.14,23.2,-3.2,4.3,9.5,-1.0,1.3,0.35,-0.16,0.16,0.14,0.97,22.1,-3.1,4.4
GW240525_201644,,,,,,,9.0,,,,,,,,,,,,,,,,,,2.3,0.81,,,
GW240525_031210,31.1,-7.2,12.1,21.4,-6.8,7.1,9.1,,,4500.0,-2200.0,3000.0,0.17,-0.26,0.25,52.8,-9.2,12.4,22.1,-3.8,5.2,0.72,-0.3,0.37,0.29,0.97,50.2,-8.8,11.7
GW240520_213616,11.4,-1.9,3.6,8.0,-1.8,1.5,11.9,,,1400.0,-500.0,530.0,,,,19.6,-1.4,2.1,8.28,-0.52,0.62,0.27,-0.09,0.08,1e-05,0.99,18.7,-1.4,2.1
GW240519_012815,65.0,-16.0,19.0,39.0,-16.0,13.0,10.6,,,1740.0,-820.0,1830.0,-0.04,-0.31,0.26,104.0,-19.0,18.0,43.1,-9.3,8.3,0.32,-0.14,0.27,0.014,0.99,100.0,-18.0,17.0
GW240516_041939,,,,,,,9.0,,,,,,,,,,,,,,,,,,3.4,0.67,,,
GW240515_005301,37.1,-9.9,11.4,18.5,-4.5,8.9,12.8,,,3800.0,-1900.0,1800.0,0.47,-0.19,0.17,56.3,-8.1,10.9,22.4,-2.7,4.8,0.63,-0.27,0.24,1e-05,0.99,53.2,-8.0,10.3
GW240514_121713,46.8,-6.3,9.3,36.7,-10.6,7.5,16.9,,,2590.0,-1040.0,820.0,0.01,-0.18,0.17,82.7,-6.8,11.2,35.4,-3.7,5.2,0.45,-0.16,0.12,1e-05,0.99,78.9,-6.3,10.4
GW240513_183302,24.4,-4.2,6.0,16.9,-3.6,3.6,14.5,,,2250.0,-800.0,690.0,0.14,-0.14,0.13,41.4,-3.2,4.3,17.4,-1.1,1.8,0.4,-0.13,0.1,1e-05,0.99,39.4,-3.1,4.2
GW240512_051606,,,,,,,9.4,,,,,,,,,,,,,,,,,,3.1,0.7,,,
GW240512_024139,12.6,-2.5,4.8,8.0,-2.1,1.8,11.6,,,1170.0,-490.0,340.0,0.14,-0.07,0.13,20.7,-1.5,2.8,8.62,-0.39,0.65,0.23,-0.09,0.06,1e-05,0.99,19.7,-1.5,3.0
GW240511_031507,40.5,-5.1,7.4,32.2,-6.6,5.5,16.3,,,1990.0,-760.0,750.0,0.05,-0.16,0.17,72.6,-5.8,7.4,31.1,-2.6,3.3,0.36,-0.12,0.11,1e-05,0.99,69.1,-5.5,6.8
GW240509_102351,,,,,,,8.2,,,,,,,,,,,,,,,,,,2.0,0.89,,,
GW240507_041632,31.3,-11.6,9.2,8.5,-1.9,6.3,10.2,,,1450.0,-500.0,900.0,0.01,-0.23,0.2,39.9,-6.9,7.8,13.8,-1.4,1.9,0.28,-0.09,0.14,0.00025,0.99,38.9,-7.2,8.0
GW240505_133552,31.0,-5.9,9.2,23.1,-6.7,6.8,9.4,,,4700.0,-2100.0,2600.0,-0.13,-0.3,0.25,54.0,-7.7,11.9,23.0,-3.4,5.3,0.74,-0.29,0.32,0.13,0.98,51.8,-7.3,11.3
GW240501_033534,38.6,-8.0,11.6,27.7,-8.2,8.6,10.6,,,4700.0,-2200.0,2700.0,0.04,-0.28,0.26,66.0,-10.0,14.0,28.0,-4.4,6.4,0.74,-0.3,0.33,1e-05,0.99,63.1,-9.5,13.4
GW240430_093517,,,,,,,8.7,,,,,,,,,,,,,,,,,,1.3,0.88,,,
GW240428_225440,19.8,-2.6,4.9,14.7,-2.9,2.2,15.6,,,840.0,-280.0,200.0,0.03,-0.08,0.1,34.6,-1.5,2.3,14.72,-0.48,0.72,0.17,-0.05,0.04,1e-05,0.99,33.0,-1.4,2.3
GW240426_085802,,,,,,,8.2,,,,,,,,,,,,,,,,,,4.2,0.63,,,
GW240426_031451,52.0,-11.0,14.0,36.0,-12.0,11.0,10.3,,,4000.0,-2000.0,2600.0,-0.05,-0.28,0.24,88.0,-13.0,18.0,37.1,-6.3,8.2,0.65,-0.28,0.33,3.8e-05,0.99,84.0,-13.0,17.0
GW240421_052935,,,,,,,8.5,,,,,,,,,,,,,,,,,,2.7,0.77,,,
GW240420_175625,34.6,-7.2,10.0,23.8,-7.1,7.2,10.0,,,2000.0,-1100.0,1600.0,,,,58.6,-8.7,10.3,24.7,-3.8,4.6,0.37,-0.18,0.22,0.078,0.98,56.0,-8.3,9.8
GW240419_041206,,,,,,,9.1,,,,,,,,,,,,,,,,,,3.4,0.71,,,
GW240414_054515,38.8,-7.2,12.1,25.9,-8.1,6.9,11.2,,,1530.0,-580.0,680.0,0.03,-0.21,0.22,65.0,-6.3,8.4,27.1,-2.8,3.6,0.29,-0.1,0.11,5.3e-05,0.99,62.2,-6.0,8.0
GW240413_022019,7.9,-1.2,2.8,5.57,-1.35,0.96,18.1,,,570.0,-220.0,110.0,0.07,-0.04,0.14,13.56,-0.52,1.41,5.74,-0.11,0.23,0.12,-0.04,0.02,1e-05,0.99,12.92,-0.52,1.49
GW240411_074140,,,,,,,8.2,,,,,,,,,,,,,,,,,,3.4,0.68,,,
GW240408_081753,,,,,,,8.3,,,,,,,,,,,,,,,,,,4.4,0.61,,,
GW240407_214946,,,,,,,7.5,,,,,,,,,,,,,,,,,,4.2,0.79,,,
GW240407_061416,,,,,,,8.8,,,,,,,,,,,,,,,,,,2.7,0.78,,,
GW240407_040938,,,,,,,8.5,,,,,,,,,,,,,,,,,,1.7999999999999998,0.91,,,
GW240406_062847,,,,,,,11.3,,,,,,,,,,,,,,,,,,1e-05,0.99,,,
GW240109_050431,28.7,-6.1,7.5,18.1,-4.1,4.8,10.4,,,1500.0,-770.0,1020.0,-0.07,-0.23,0.2,47.1,-5.8,6.7,19.7,-2.2,2.7,0.28,-0.14,0.16,0.00022,0.99,45.2,-5.5,6.4
GW240107_013215,59.0,-17.0,27.0,33.0,-17.0,20.0,9.6,,,5800.0,-3300.0,4900.0,0.32,-0.38,0.29,92.0,-20.0,30.0,36.7,-9.9,14.3,0.88,-0.44,0.56,0.0094,0.99,87.0,-19.0,29.0
GW240105_151143,,,,,,,25.9,,,,,,,,,,,,,,,,,,3.3,0.74,,,
GW240104_164932,42.3,-6.8,9.4,32.2,-8.2,7.5,14.8,,,1910.0,-970.0,1120.0,0.09,-0.2,0.19,74.3,-8.5,11.4,31.8,-4.0,5.1,0.35,-0.16,0.17,1e-05,0.99,70.7,-8.1,10.7
GW231231_154016,22.5,-3.2,5.5,17.2,-3.2,2.9,13.4,,,1070.0,-530.0,590.0,-0.03,-0.12,0.12,39.9,-3.4,4.1,17.1,-1.3,1.6,0.21,-0.1,0.1,1e-05,0.99,38.1,-3.3,4.0
GW231231_120147,,,,,,,11.3,,,,,,,,,,,,,,,,,,2.0,0.86,,,
GW231230_170116,53.0,-15.0,53.0,35.0,-14.0,15.0,8.2,,,5700.0,-3200.0,4800.0,-0.18,-0.35,0.33,89.0,-20.0,52.0,37.0,-8.3,14.9,0.87,-0.43,0.56,0.42,0.96,86.0,-19.0,51.0
GW231226_101520,40.2,-2.9,4.4,35.1,-4.9,3.2,34.7,,,1180.0,-360.0,240.0,-0.08,-0.1,0.09,75.0,-3.1,3.9,32.5,-1.5,1.8,0.23,-0.06,0.04,1e-05,0.99,71.6,-2.8,3.7
GW231224_024321,9.3,-1.1,2.1,7.31,-1.31,0.97,14.0,,,950.0,-400.0,280.0,-0.01,-0.06,0.08,16.66,-0.79,1.26,7.13,-0.29,0.48,0.19,-0.07,0.05,1e-05,0.99,15.89,-0.77,1.24
GW231223_202619,11.1,-1.6,3.9,8.3,-2.0,1.4,10.1,,,890.0,-440.0,480.0,0.1,-0.11,0.14,19.6,-1.5,2.2,8.35,-0.57,0.66,0.18,-0.08,0.08,0.002,0.99,18.7,-1.5,2.3
GW231223_075055,11.9,-2.8,7.0,6.8,-2.2,2.0,9.4,,,970.0,-430.0,580.0,0.07,-0.12,0.22,19.0,-2.0,4.8,7.8,-0.6,0.57,0.19,-0.08,0.1,0.23,0.98,18.1,-1.9,4.9
GW231223_032836,46.0,-11.0,16.0,31.0,-14.0,12.0,10.2,,,4200.0,-2200.0,3100.0,-0.16,-0.37,0.33,76.0,-13.0,18.0,31.9,-7.0,8.5,0.67,-0.31,0.39,0.0003599999999999,0.99,73.0,-13.0,17.0
GW231221_135041,47.0,-13.0,22.0,29.0,-13.0,12.0,10.0,,,4600.0,-2500.0,3800.0,0.01,-0.38,0.37,76.0,-16.0,22.0,31.0,-6.8,9.6,0.72,-0.36,0.46,0.54,0.96,73.0,-15.0,21.0
GW231220_173406,,,,,,,7.9,,,,,,,,,,,,,,,,,,3.0,0.83,,,
GW231213_111417,35.6,-6.8,10.5,27.2,-7.6,7.9,10.4,,,4000.0,-2000.0,2300.0,0.06,-0.23,0.24,62.6,-9.4,14.2,26.7,-4.2,6.2,0.65,-0.29,0.3,1e-05,0.99,59.6,-8.9,13.3
GW231206_233901,37.6,-4.6,6.6,28.5,-6.1,5.3,21.9,,,1490.0,-500.0,340.0,-0.05,-0.15,0.14,66.0,-3.7,5.3,28.2,-1.8,2.7,0.28,-0.08,0.05,1e-05,0.99,63.1,-3.4,4.9
GW231206_233134,35.6,-6.2,9.0,28.2,-7.1,7.6,12.8,,,3200.0,-1800.0,1800.0,-0.08,-0.25,0.21,63.5,-8.8,13.7,27.2,-3.9,6.1,0.54,-0.27,0.25,1e-05,0.99,60.6,-8.3,13.0
GW231206_010629,,,,,,,9.7,,,,,,,,,,,,,,,,,,6.9,0.58,,,
GW231204_090648,,,,,,,8.4,,,,,,,,,,,,,,,,,,3.5,0.78,,,
GW231129_081745,45.0,-13.0,15.0,23.8,-8.2,10.3,9.4,,,3800.0,-2100.0,3600.0,0.03,-0.26,0.27,69.0,-14.0,17.0,27.8,-5.7,7.7,0.62,-0.3,0.45,0.056,0.99,66.0,-14.0,17.0
GW231127_165300,45.0,-12.0,18.0,28.0,-12.0,13.0,9.9,,,4500.0,-2500.0,3600.0,0.05,-0.32,0.3,74.0,-15.0,22.0,30.4,-6.7,9.7,0.71,-0.35,0.44,0.01,0.99,71.0,-14.0,21.0
GW231127_061546,,,,,,,8.0,,,,,,,,,,,,,,,,,,11.0,0.55,,,
GW231126_010928,,,,,,,9.1,,,,,,,,,,,,,,,,,,2.1,0.86,,,
GW231123_135430,137.0,-18.0,23.0,101.0,-50.0,22.0,21.8,,,2200.0,-1500.0,1900.0,0.32,-0.41,0.25,236.0,-47.0,30.0,101.0,-30.0,13.0,0.4,-0.25,0.27,1e-05,0.99,222.0,-42.0,28.0
